100 mile house,Agassiz-Harrison,Ashcroft-Cache-Creek-Clinton,Bulkley Nechako,Campbell River,Central Fraser Valley,Chilliwack,Clearwater,Columbia Valley,Comox Valley,Cowichan Valley,Cranbrook,Creston Valley,Dawson Creek,Elk Valley,Fort St John,Greater Vancouver,Hazeltons,Hope,Kamloops,Kelowna,Kimberley,Kitimat,Merritt,Mount Waddington,Nanaimo,Pemberton Valley,Port Alberni,Port Edward,Powell River,Prince George,Prince Rupert,Quesnel,Revelstoke,Salt Spring Island,Shuswap,Skeena,Smithers,South Okanagan Similkameen,Squamish,Sunshine Coast,Terrace,Vernon,Victoria,West Kootenay,Whistler,Williams Lake
17.0575,6.4915,51.317,10.026,13.4475,50.778,10.367999999999999,26.918,5.722,11.605,28.615000000000002,5.91,10.191,14.3235,6.808,12.228,28.765349999999998,20.6945,5.6575,18.814500000000002,7.8835,18.1505,8.287,5.106,62.531,8.2115,36.7535,7.091,13.525500000000001,32.6275,11.935500000000001,7.76,17.925,15.182500000000001,10.977,8.156,10.631,16.936,9.464500000000001,12.2665,37.555499999999995,7.394500000000001,8.156,10.3895,4.7105,8.73,17.471
8.375499999999999,13.187000000000001,51.317,10.393,15.905000000000001,20.252,9.251999999999999,81.3735,7.0809999999999995,33.25,45.489,8.411,7.111,14.885,19.728,12.5165,14.29205,9.618,10.4185,8.600999999999999,20.2325,6.390000000000001,32.1725,9.1485,27.3645,15.7135,36.286,8.1685,7.8759999999999994,28.765,13.013,10.8615,12.651499999999999,16.5155,8.262,6.6845,17.1695,16.936,7.609999999999999,10.784,32.5285,9.182500000000001,7.223000000000001,15.004000000000001,24.9345,15.270499999999998,14.690999999999999
21.917,17.379,51.317,7.5405,15.925999999999998,10.3405,13.9265,13.021,6.8469999999999995,6.0760000000000005,47.676,6.268,7.109,14.885,5.577,12.5165,13.907250000000001,9.253499999999999,15.437999999999999,9.645,12.913499999999999,32.7945,9.499500000000001,5.106,15.629999999999999,18.695500000000003,36.286,10.0075,7.76,13.1095,12.9825,7.76,13.355,16.3285,37.161,6.031499999999999,9.737,27.3515,17.117,13.463000000000001,32.5285,11.940000000000001,13.7025,16.729,3.6945,17.368,11.748
8.375499999999999,8.2825,51.317,11.432500000000001,12.882,13.689499999999999,5.9575,13.021,17.459500000000002,13.966999999999999,17.3575,6.574,7.109,14.2705,6.996,12.706,23.664099999999998,7.03,20.5565,15.824,13.682500000000001,5.304,9.2645,19.0155,44.789,11.502,33.482,8.0805,7.514,21.988500000000002,13.498999999999999,7.368,11.9185,14.765,11.331,21.7515,8.403,16.936,37.17,10.906,8.216999999999999,7.534,4.71,15.1725,4.7780000000000005,4.8625,11.506
15.683,8.500499999999999,51.007,11.432500000000001,15.905000000000001,48.568,8.0395,89.18350000000001,4.886,25.059,31.9375,6.1555,11.882,14.885,20.655,12.228,7.6793499999999995,22.4825,6.3735,11.072,8.696000000000002,16.889,7.03,9.1485,26.038,15.648,36.341,10.3735,9.244499999999999,30.225,9.36,13.214500000000001,16.5115,15.182500000000001,14.408999999999999,11.458,7.323,19.494,41.8695,12.8625,19.2985,9.2645,16.219,19.983,19.2895,13.9495,14.690999999999999
17.143,7.9995,51.317,16.046,14.2905,12.1355,15.5445,86.9905,6.2405,12.1785,35.6115,9.017,9.4955,15.375,6.808,12.1265,6.045450000000001,20.6945,14.823,14.859,8.616,9.915,7.6875,9.402000000000001,18.694499999999998,13.803,36.7535,10.5115,11.0725,16.816,21.971,7.76,14.073999999999998,15.182500000000001,10.1755,15.204,9.414000000000001,25.585499999999996,7.5600000000000005,9.773,25.8265,11.878499999999999,6.897500000000001,16.414,15.44,7.368,11.506
17.0575,5.677,51.627,10.3525,12.277999999999999,13.9435,11.309000000000001,20.619,6.183,23.6935,31.113,5.9675,10.190000000000001,14.199000000000002,8.829,12.228,29.758049999999997,39.4685,12.8045,9.1085,13.407,5.304,9.1715,9.1485,21.612,16.994,33.537,15.468,6.8825,21.7965,10.3735,11.5465,9.026,16.3285,11.1845,6.1705000000000005,34.986,17.874499999999998,11.1475,16.274,28.281,9.4755,11.029,10.6155,19.344,7.783,14.690999999999999
8.717500000000001,8.5825,51.627,14.568,9.5465,11.6325,5.0695,11.7995,6.098,13.434,8.554,7.0809999999999995,7.109999999999999,14.885,5.995,12.415,20.285800000000002,7.03,12.713000000000001,12.3915,13.245000000000001,6.6385000000000005,19.3795,9.402000000000001,15.777,16.445,33.482,13.7485,9.100999999999999,14.1035,9.9115,6.894,14.529,16.3285,11.07,8.17,7.4765,26.826999999999998,16.387,15.551,32.569,23.938000000000002,12.040000000000001,12.376999999999999,22.706,8.8825,11.748
17.0575,6.3685,51.317,8.798,12.8095,12.853,15.629000000000001,35.8215,6.422499999999999,12.0185,19.841,6.2405,7.111,15.375,6.1555,12.415,9.827150000000001,9.996500000000001,11.6745,11.358,13.033999999999999,5.9675,12.362,5.613,31.002000000000002,17.999,36.286,6.44,9.100999999999999,20.078,13.498999999999999,7.368,49.4555,18.079,8.1065,8.184000000000001,136.895,18.2885,8.680499999999999,11.502,31.5455,9.629,19.8705,15.742,8.311,7.4675,11.506
15.939499999999999,10.217500000000001,51.317,19.6925,12.45,11.0775,9.7815,35.8215,5.759,24.557000000000002,16.9605,8.411,13.271,15.375,44.048,12.1265,14.748450000000002,12.3045,11.503499999999999,9.4195,9.9945,7.66,7.2405,13.191,29.2345,9.9855,36.286,7.091,11.8735,22.7905,14.6085,7.122,14.3125,18.079,10.45,7.362,30.1735,18.666,10.085,12.867,10.254,9.629,6.031499999999999,12.768999999999998,18.833000000000002,15.197,11.748
